runNumber,MBD_NandS_geq_1,Jet_6_GeV_plus_MBD_NS_geq_1,Jet_8_GeV_plus_MBD_NS_geq_1,Jet_10_GeV_plus_MBD_NS_geq_1,Jet_12_GeV_plus_MBD_NS_geq_1,Photon_2_GeV_plus_MBD_NS_geq_1,Photon_3_GeV_plus_MBD_NS_geq_1,Photon_4_GeV_plus_MBD_NS_geq_1,Photon_5_GeV_plus_MBD_NS_geq_1
48951,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48971,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48982,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48983,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48984,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48985,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48986,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48987,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48988,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48990,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48991,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49023,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49026,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49027,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49029,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
49030,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
